"CODIGOMATERIA","MATERIA","REPROBADOS","REGISTRADOS","TASA_RP"
DING2037       ,PORTAFOLIO,4,74,5.41
ACUG1035       ,ACUICULTURA ORNAMENTAL,1,104,0.96
ACUG1036       ,ANÁLISIS DE DATOS ACUÍCOLAS,2,91,2.20
ACUG1039       ,CULTIVO DE ESPECIES NO TRADICIONALES,1,80,1.25
ACUG1040       ,CULTIVO DE PLANCTON,1,68,1.47
ACUG1041       ,ECOSISTEMAS ACUÍCOLAS,5,74,6.76
ACUG1042       ,FUNDAMENTOS DE INGENIERÍA ACUÍCOLA,2,70,2.86
ACUG1043       ,HERRAMIENTAS PARA EL DIAGNÓSTICO DE ENFERMEDADES ACUÍCOLAS,7,116,6.03
ACUG1045       ,PRODUCCIÓN ACUÍCOLA II,2,121,1.65
ACUG1046       ,PRODUCCIÓN ACUICOLA I,0,99,0.00
ACUG1047       ,PISCICULTURA,0,90,0.00
ACUG1048       ,SISTEMAS ACUÍCOLAS,0,96,0.00
ACUG1049       ,INGENIERÍA PARA LA ACUICULTURA II,4,90,4.44
ACUG1050       ,INGENIERÍA PARA LA ACUICULTURA I,24,105,22.86
ACUG1051       ,NUTRICIÓN ACUÍCOLA,3,89,3.37
ACUG1052       ,MORFOLOGÍA Y FISIOLOGÍA DE ORGANISMOS ACUÍCOLAS,0,64,0.00
ACUG1053       ,MANEJO ACUÍCOLA,2,58,3.45
ACUG1054       ,INTRODUCCIÓN A LA ACUICULTURA,2,68,2.94
ACUG1055       ,PROBLEMAS DE LA ACTUALIDAD ACUÍCOLA,1,82,1.22
ACUG1056       ,PATOLOGÍA ACUÍCOLA II,2,85,2.35
ACUG1057       ,PATOLOGÍA ACUÍCOLA I,0,70,0.00
ACUG1058       ,MATERIA INTEGRADORA DE ACUICULTURA,0,123,0.00
ACUG1059       ,BUENAS PRÁCTICAS EN ACUICULTURA,2,87,2.30
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,155,7747,2.00
ADMG1006       ,GESTIÓN DE PROYECTOS Y REGULACIÓN EN TELECOMUNICACIONES,2,165,1.21
ADMG1007       ,ESTRATEGIAS DE GESTIÓN,2,176,1.14
ADMG2022       ,ADMINISTRACIÓN DE OPERACIONES,133,900,14.78
ADMG2024       ,COMERCIO EXTERIOR,3,429,0.70
ADMG2025       ,COMPORTAMIENTO ORGANIZACIONAL,9,917,0.98
ADMG2026       ,DESARROLLO ORGANIZACIONAL,0,428,0.00
ADMG2028       ,ESTRATEGIAS CORPORATIVAS Y DE NEGOCIOS,12,456,2.63
ADMG2029       ,FUNDAMENTOS DE ADMINISTRACIÓN,58,1941,2.99
ADMG2030       ,FUNDAMENTOS DE MARKETING,34,1004,3.39
ADMG2031       ,MATERIA INTEGRADORA DE ADMINISTRACIÓN DE EMPRESAS,7,420,1.67
ADMG2032       ,GESTIÓN COMERCIAL,1,455,0.22
ADMG2033       ,GESTIÓN DE MARKETING,2,391,0.51
ADMG2034       ,GESTIÓN DE RECURSOS HUMANOS,5,627,0.80
ADMG2035       ,INVESTIGACIÓN DE MERCADOS,121,1328,9.11
ADMG2036       ,PLANIFICACIÓN ESTRATÉGICA,5,414,1.21
ADMG2037       ,GESTIÓN DE PROYECTOS,1,679,0.15
ADMT3004       ,LIDERAZGO Y EMPRENDIMIENTO,0,36,0.00
ADMT3005       ,COMERCIO EXTERIOR,0,16,0.00
ADSG1019       ,CONTAMINACIÓN AMBIENTAL,0,174,0.00
ADSG1020       ,ECOLOGÍA ACUÁTICA,3,145,2.07
ADSG1021       ,ECOLOGÍA DE ECOSISTEMAS,4,199,2.01
ADSG1022       ,ECOLOGÍA GENERAL,5,194,2.58
ADSG1023       ,REMEDIACIÓN AMBIENTAL,0,119,0.00
ADSG1024       ,PRINCIPIOS DE ECOTOXICOLOGÍA,2,189,1.06
ADSG1025       ,"GESTIÓN DE CALIDAD, AMBIENTE Y SEGURIDAD EN LA INDUSTRIA",12,480,2.50
ADSG1026       ,CIENCIAS DE LA SOSTENIBILIDAD,110,5542,1.98
ADSG1029       ,TRATAMIENTO DE AGUAS,8,383,2.09
ADST3002       ,CIENCIAS AMBIENTALES,0,16,0.00
AGRG1022       ,AGRICULTURA DE PRECISIÓN,7,52,13.46
AGRG1023       ,AGROECOSISTEMAS,0,39,0.00
AGRG1024       ,DIAGNÓSTICO Y PROTECCIÓN VEGETAL II,2,51,3.92
AGRG1025       ,DIAGNÓSTICO Y PROTECCIÓN VEGETAL I,2,54,3.70
AGRG1026       ,EDAFOLOGÍA,4,59,6.78
AGRG1027       ,FISIOLOGÍA VEGETAL,3,297,1.01
AGRG1028       ,GESTIÓN DE UNIDADES DE PRODUCCIÓN AGROPECUARIA,0,44,0.00
AGRG1029       ,MATERIA INTEGRADORA DE INGENIERÍA AGRÍCOLA Y BIOLÓGICA,0,37,0.00
AGRG1030       ,MECANIZACIÓN AGRÍCOLA,0,35,0.00
AGRG1032       ,PRODUCCIÓN VEGETAL I,1,53,1.89
AGRG1033       ,PRODUCCIÓN VEGETAL II,3,52,5.77
AGRG1035       ,RIEGO Y DRENAJE,1,45,2.22
AGRG1036       ,SILVICULTURA,5,46,10.87
AGRG1037       ,NUTRICIÓN VEGETAL,1,50,2.00
AGRG1038       ,PRODUCCIÓN PECUARIA II,0,41,0.00
AGRG1039       ,PRODUCCIÓN PECUARIA I,0,57,0.00
AGRG1040       ,PRODUCCIÓN VEGETAL III,1,37,2.70
AGRG1041       ,SEMILLEROS Y VIVEROS,5,32,15.63
ALIG1029       ,ANÁLISIS DE ALIMENTOS,1,154,0.65
ALIG1030       ,BIOQUÍMICA ALIMENTARIA,1,173,0.58
ALIG1031       ,CONTROL DE CALIDAD Y EVALUACIÓN SENSORIAL DE ALIMENTOS,9,205,4.39
ALIG1032       ,DESARROLLO DE NUEVOS PRODUCTOS ALIMENTICIOS,1,202,0.50
ALIG1033       ,DISEÑO DE PLANTAS ALIMENTARIAS,0,212,0.00
ALIG1034       ,DISEÑO DE PROCESOS TÉRMICOS I,12,222,5.41
ALIG1035       ,DISEÑO DE PROCESOS TÉRMICOS II,0,205,0.00
ALIG1036       ,FERMENTACIÓN Y ENZIMOLOGÍA ALIMENTARIA,3,183,1.64
ALIG1037       ,FUNDAMENTOS DE LA INGENIERÍA EN ALIMENTOS,9,169,5.33
ALIG1038       ,INGENIERÍA DE PROCESOS ALIMENTARIOS,3,211,1.42
ALIG1039       ,INOCUIDAD ALIMENTARIA,5,181,2.76
ALIG1040       ,MATERIA INTEGRADORA DE ALIMENTOS,4,222,1.80
ALIG1041       ,MICROBIOLOGÍA DE ALIMENTOS,56,230,24.35
ALIG1042       ,OPTIMIZACIÓN Y SIMULACIÓN DE PROCESOS ALIMENTARIOS,1,209,0.48
ALIG1043       ,PROCESAMIENTO DE FARINÁCEOS Y OLEAGINOSAS,0,172,0.00
ALIG1044       ,PROCESAMIENTO DE FRUTAS Y VEGETALES,1,180,0.56
ALIG1045       ,PROCESAMIENTO DE LÁCTEOS,0,189,0.00
ALIG1046       ,"PROCESAMIENTO DE CÁRNICOS, PESCADOS Y MARISCOS",0,202,0.00
ALIG1047       ,SANIDAD E HIGIENE ALIMENTARIA,2,180,1.11
ALIG1050       ,QUÍMICA ALIMENTARIA,14,202,6.93
ARQG2020       ,ANTROPOLOGÍA BIOLÓGICA,17,82,20.73
ARQG2021       ,ARQUEOLOGÍA DE MESOAMÉRICA,2,51,3.92
ARQG2022       ,BIOARQUEOLOGÍA,4,52,7.69
ARQG2023       ,PROYECTOS DE INVESTIGACIÓN ARQUEOLÓGICA,5,45,11.11
ARQG2024       ,MATERIA INTEGRADORA EN ARQUEOLOGÍA,5,37,13.51
ARQG2025       ,ARQUEOLOGÍA DEL ECUADOR II,12,75,16.00
ARQG2026       ,LABORATORIO DE ARQUEOLOGÍA II,0,32,0.00
ARQG2028       ,CAMPO DE ANTROPOLOGÍA SOCIOCULTURAL II,2,45,4.44
ARQG2029       ,LABORATORIO DE ARQUEOLOGÍA I,1,38,2.63
ARQG2030       ,CAMPO DE ARQUEOLOGÍA I,2,52,3.85
ARQG2031       ,ARQUEOLOGÍA ANDINOAMERICANA,5,62,8.06
ARQG2032       ,ARQUEOLOGÍA DE LAS TIERRAS BAJAS DE SUDAMÉRICA Y DEL CARIBE,0,41,0.00
ARQG2033       ,ARQUEOLOGÍA DEL ECUADOR I,16,120,13.33
ARQG2034       ,ARQUEOLOGÍA DEL VIEJO MUNDO,11,85,12.94
ARQG2035       ,ARQUEOLOGÍA SOCIAL LATINOAMERICANA,6,87,6.90
ARQG2036       ,CAMPO DE ANTROPOLOGÍA SOCIOCULTURAL I,2,54,3.70
ARQG2037       ,ORÍGENES DE LOS ESTADOS PREHISPÁNICOS,2,48,4.17
ARQG2038       ,PRIMER POBLAMIENTO AMERICANO,21,77,27.27
ARQG2039       ,TEORÍA ANTROPOLÓGICA Y ARQUEOLÓGICA,12,97,12.37
ARQG2040       ,GEOMÁTICA,11,89,12.36
ARQG2041       ,GEOGRAFÍA FÍSICA,42,612,6.86
ARQG2042       ,INTRODUCCIÓN A LA ANTROPOLOGÍA Y ARQUEOLOGÍA,36,610,5.90
ARQG2043       ,CAMPO DE ARQUEOLOGÍA II,0,40,0.00
ARTG2023       ,ARTE Y CIENCIA,31,934,3.32
ARTG2024       ,ARTE Y TECNOLOGÍA,27,1178,2.29
ARTG2025       ,DIBUJO  I,108,1478,7.31
ARTG2026       ,DIBUJO II,226,1413,15.99
ARTG2028       ,HISTORIA DEL ARTE,55,1060,5.19
ARTG2029       ,HISTORIA DEL CINE,71,436,16.28
ARTG2030       ,INVESTIGACIÓN AUDIOVISUAL,19,391,4.86
ARTG2032       ,TALLER DE ILUSTRACIÓN,13,364,3.57
ARTG2033       ,TÉCNICAS PICTÓRICAS,37,533,6.94
AUDG2026       ,AUDITORÍA DE SISTEMAS INTEGRADOS,1,398,0.25
AUDG2027       ,AUDITORÍA FINANCIERA I,8,409,1.96
AUDG2028       ,AUDITORÍA FINANCIERA II,9,421,2.14
AUDG2030       ,AUDITORÍA OPERACIONAL,11,392,2.81
AUDG2032       ,CONTABILIDAD AVANZADA,17,572,2.97
AUDG2033       ,CONTABILIDAD DE COSTOS,10,802,1.25
AUDG2034       ,CONTABILIDAD FINANCIERA,130,1700,7.65
AUDG2035       ,CONTABILIDAD I,17,594,2.86
AUDG2036       ,CONTABILIDAD II,24,594,4.04
AUDG2037       ,CONTABILIDAD III,33,643,5.13
AUDG2038       ,CONTROL INTERNO,1,311,0.32
AUDG2039       ,FUNDAMENTOS DE AUDITORÍA,14,604,2.32
AUDG2040       ,MATERIA INTEGRADORA DE AUDITORÍA Y CONTROL DE GESTIÓN,9,412,2.18
AUDG2041       ,PRÁCTICA TRIBUTARIA,3,431,0.70
AUDG2042       ,SISTEMAS DE CONTROL DE GESTIÓN,0,448,0.00
AUDG2043       ,INTRODUCCIÓN A LAS TÉCNICAS DE AUDITORÍA,16,473,3.38
AUDG2044       ,GESTIÓN DE LA PRODUCTIVIDAD,4,349,1.15
BIOG1021       ,BIOLOGÍA CELULAR Y MOLECULAR,19,629,3.02
BIOG1022       ,BIOLOGÍA GENERAL,21,1158,1.81
BIOG1023       ,FISIOLOGÍA ANIMAL,0,103,0.00
BIOG1024       ,BIOQUÍMICA,14,715,1.96
BIOG1025       ,INTRODUCCIÓN A LAS HERRAMIENTAS ÓMICAS,0,122,0.00
BIOG1026       ,INVESTIGACIÓN EN CIENCIAS DE LA VIDA,21,642,3.27
BIOG1027       ,MATERIA INTEGRADORA DE BIOLOGÍA,3,169,1.78
BIOG1028       ,MICROBIOLOGÍA GENERAL,15,557,2.69
BIOG1029       ,VIROLOGÍA,10,183,5.46
BIOG1030       ,BIOINFORMÁTICA,8,198,4.04
CADG2025       ,ANIMACIÓN I,31,249,12.45
CADG2026       ,ANIMACIÓN II,19,190,10.00
CADG2027       ,DIRECCIÓN AUDIOVISUAL,20,243,8.23
CADG2028       ,DIRECCIÓN ESCÉNICA,8,241,3.32
CADG2029       ,DISEÑO DE PRODUCCIÓN,21,436,4.82
CADG2030       ,EDICIÓN Y MONTAJE,9,356,2.53
CADG2031       ,FOTOGRAFÍA PARA MEDIOS,34,376,9.04
CADG2032       ,GUION,12,286,4.20
CADG2033       ,LEGISLACIÓN AUDIOVISUAL,27,262,10.31
CADG2034       ,NARRATIVA AUDIOVISUAL,13,339,3.83
CADG2035       ,POSTPRODUCCIÓN,3,247,1.21
CADG2036       ,PREPRODUCCIÓN,5,403,1.24
CADG2037       ,PRODUCCIÓN EJECUTIVA,5,239,2.09
CADG2038       ,PRODUCCIÓN PARA NUEVOS MEDIOS,3,195,1.54
CADG2039       ,PROYECTO AUDIOVISUAL I,0,285,0.00
CADG2040       ,PROYECTO AUDIOVISUAL II,4,267,1.50
CADG2042       ,DISEÑO DE SONIDO,33,317,10.41
CADG2043       ,MATERIA INTEGRADORA DE PRODUCCIÓN PARA MEDIOS DE COMUNICACIÓN,18,287,6.27
CADG2045       ,FOTOGRAFÍA DIGITAL,9,374,2.41
CADG2046       ,VIDEOGRAFÍA,2,175,1.14
CCAG1002       ,EXTENSIONISMO,1,45,2.22
CCAG2021       ,SEMIÓTICA,16,365,4.38
CCAG2022       ,ESTUDIO DE CASOS DE CIENCIAS SOCIALES,32,1581,2.02
CCAG2023       ,SOCIOLOGÍA,46,1477,3.11
CCPG1034       ,ESTRUCTURAS DE DATOS,122,787,15.50
CCPG1035       ,MATERIA INTEGRADORA DE COMPUTACIÓN,26,566,4.59
CCPG1036       ,ANÁLISIS DE ALGORITMOS,35,554,6.32
CCPG1039       ,COMPUTACIÓN Y SOCIEDAD,14,794,1.76
CCPG1041       ,DIRECCIÓN DE PROYECTOS INFORMÁTICOS,18,618,2.91
CCPG1042       ,DISEÑO DE SOFTWARE,43,791,5.44
CCPG1043       ,FUNDAMENTOS DE PROGRAMACIÓN,3222,10281,31.34
CCPG1044       ,INTELIGENCIA ARTIFICIAL,81,637,12.72
CCPG1046       ,INTERACCIÓN HUMANO COMPUTADOR,28,772,3.63
CCPG1048       ,METODOLOGÍA DE LA INVESTIGACIÓN EN COMPUTACIÓN,56,545,10.28
CCPG1049       ,ORGANIZACIÓN DE COMPUTADORES,26,700,3.71
CCPG1051       ,PROGRAMACIÓN DE SISTEMAS,130,988,13.16
CCPG1052       ,PROGRAMACIÓN ORIENTADA A OBJETOS,313,1768,17.70
CCPG1053       ,SEGURIDAD DE LA INFORMACIÓN,2,566,0.35
CCPG1054       ,SISTEMAS DE INFORMACIÓN,4,1068,0.37
CCPG1055       ,SISTEMAS DISTRIBUIDOS Y COMPUTACIÓN EN LA NUBE,13,810,1.60
CCPG1056       ,SISTEMAS OPERATIVOS,235,845,27.81
CCPG1058       ,SISTEMAS DE INFORMACIÓN APLICADOS A LOGÍSTICA,5,92,5.43
CCPG1059       ,AUDITORÍA DE SISTEMAS DE INFORMACIÓN,5,391,1.28
CCPG1801       ,FUNDAMENTOS DE PROGRAMACIÓN,18,57,31.58
CCPG1803       ,PROGRAMACIÓN ORIENTADA A OBJETOS,0,3,0.00
CCPT3003       ,OPERACIÓN DE COMPUTADORES,0,20,0.00
CCPT3004       ,FUNDAMENTOS DE COMPUTACIÓN,0,16,0.00
CIVG1034       ,ANÁLISIS ESTRUCTURAL,71,705,10.07
CIVG1035       ,DIBUJO TÉCNICO Y PLANOS,57,503,11.33
CIVG1036       ,DISEÑO DE PAVIMENTOS,5,515,0.97
CIVG1037       ,DISEÑO DE PUENTES,9,636,1.42
CIVG1038       ,DISEÑO DE VÍAS,20,521,3.84
CIVG1039       ,DISEÑO ESTRUCTURAL,24,644,3.73
CIVG1040       ,ESTRUCTURAS METÁLICAS,31,573,5.41
CIVG1041       ,GESTIÓN DE OBRAS CIVILES,7,545,1.28
CIVG1043       ,HIDROLOGÍA,31,576,5.38
CIVG1044       ,HIDRÁULICA,69,664,10.39
CIVG1045       ,HORMIGÓN ARMADO,64,741,8.64
CIVG1046       ,HORMIGÓN PREFORZADO,19,623,3.05
CIVG1047       ,HORMIGÓN Y MATERIALES DE CONSTRUCCIÓN,43,746,5.76
CIVG1049       ,INGENIERÍA DE CIMENTACIÓN,8,633,1.26
CIVG1050       ,INGENIERÍA DE LA CONSTRUCCIÓN,1,575,0.17
CIVG1053       ,INSTALACIONES,2,461,0.43
CIVG1054       ,MATERIA INTEGRADORA DE INGENIERÍA CIVIL,39,630,6.19
CIVG1055       ,POTABILIZACIÓN Y TRATAMIENTO DEL AGUA,10,559,1.79
CIVG1056       ,RESISTENCIA DE MATERIALES,68,694,9.80
CIVG1058       ,SISTEMAS DE RECOLECCIÓN Y DISTRIBUCIÓN DE AGUA,54,555,9.73
CIVG1059       ,TOPOGRAFÍA,4,422,0.95
CIVG1060       ,MECÁNICA DE SUELOS Y ROCAS,49,593,8.26
COMG2002       ,TEORÍA DE LA COMUNICACIÓN,45,878,5.13
DIGG2023       ,DIRECCIÓN DE ARTE,5,369,1.36
DIGG2025       ,DISEÑO DE INFORMACIÓN,9,315,2.86
DIGG2026       ,DISEÑO DE MARCA,11,332,3.31
DIGG2027       ,DISEÑO EDITORIAL,15,318,4.72
DIGG2028       ,DISEÑO ESTRATÉGICO,1,334,0.30
DIGG2029       ,DISEÑO GRÁFICO I,29,460,6.30
DIGG2030       ,DISEÑO GRÁFICO II,21,380,5.53
DIGG2031       ,DISEÑO GRÁFICO III,2,348,0.57
DIGG2032       ,DISEÑO GRÁFICO IV,11,294,3.74
DIGG2033       ,HISTORIA DEL DISEÑO,78,562,13.88
DIGG2034       ,MATERIA INTEGRADORA DE DISEÑO GRÁFICO,34,325,10.46
DIGG2035       ,PROYECTO DE DISEÑO,0,284,0.00
DIGG2036       ,TIPOGRAFÍA,19,433,4.39
DIGG2037       ,TÉCNICAS DE IMPRESIÓN,0,302,0.00
DIGG2039       ,REDACCIÓN CREATIVA,76,774,9.82
DIGG2040       ,ANTROPOLOGÍA DEL DISEÑO,37,456,8.11
DIGG2041       ,INVESTIGACIÓN APLICADA AL DISEÑO,14,438,3.20
DING2023       ,DISEÑO DE PRODUCTOS I,13,224,5.80
DING2024       ,DISEÑO DE PRODUCTOS II,17,160,10.63
DING2025       ,DISEÑO DE PRODUCTOS III,4,87,4.60
DING2026       ,DISEÑO DE PRODUCTOS IV,0,67,0.00
DING2027       ,DISEÑO DIGITAL,10,170,5.88
DING2028       ,ERGONOMÍA,0,114,0.00
DING2029       ,ESTRUCTURAS Y MECANISMOS I,57,222,25.68
DING2030       ,ESTRUCTURAS Y MECANISMOS II,22,122,18.03
DING2031       ,HISTORIA DEL DISEÑO INDUSTRIAL,25,291,8.59
