CODIGOMATERIA,MATERIA_x,REPROBADOS,REGISTRADOS,TASA_RP,CLASIFMATERIA,MATERIA_y,ANIO,TERMINO,DIFICULTAD
CCPG1046,INTERACCIÓN HUMANO COMPUTADOR,28,772,"3,63",G,INTERACCIÓN HUMANO COMPUTADOR,2020,0S,"8,08"
CCPG1048,METODOLOGÍA DE LA INVESTIGACIÓN EN COMPUTACIÓN,56,545,"10,28",G,METODOLOGÍA DE LA INVESTIGACIÓN EN COMPUTACIÓN,2020,0S,"7,37"
CCPG1049,ORGANIZACIÓN DE COMPUTADORES,26,700,"3,71",G,ORGANIZACIÓN DE COMPUTADORES,2020,0S,"7,98"
CCPG1051,PROGRAMACIÓN DE SISTEMAS,130,988,"13,16",G,PROGRAMACIÓN DE SISTEMAS,2020,0S,"7,16"
CCPG1052,PROGRAMACIÓN ORIENTADA A OBJETOS,313,1768,"17,70",G,PROGRAMACIÓN ORIENTADA A OBJETOS,2020,0S,"7,03"
CCPG1053,SEGURIDAD DE LA INFORMACIÓN,2,566,"0,35",G,SEGURIDAD DE LA INFORMACIÓN,2020,0S,"9,09"
CCPG1054,SISTEMAS DE INFORMACIÓN,4,1068,"0,37",G,SISTEMAS DE INFORMACIÓN,2020,0S,"8,27"
CCPG1055,SISTEMAS DISTRIBUIDOS Y COMPUTACIÓN EN LA NUBE,13,810,"1,60",G,SISTEMAS DISTRIBUIDOS Y COMPUTACIÓN EN LA NUBE,2020,0S,"8,35"
CCPG1056,SISTEMAS OPERATIVOS,235,845,"27,81",G,SISTEMAS OPERATIVOS,2020,0S,"6,28"
CCPG1058,SISTEMAS DE INFORMACIÓN APLICADOS A LOGÍSTICA,5,92,"5,43",G,SISTEMAS DE INFORMACIÓN APLICADOS A LOGÍSTICA,2020,0S,"7,91"
CCPG1059,AUDITORÍA DE SISTEMAS DE INFORMACIÓN,5,391,"1,28",G,AUDITORÍA DE SISTEMAS DE INFORMACIÓN,2020,0S,"8,72"
CCPG1801,FUNDAMENTOS DE PROGRAMACIÓN,18,57,"31,58",G,FUNDAMENTOS DE PROGRAMACIÓN,2024,0S,"6,48"
CCPG1803,PROGRAMACIÓN ORIENTADA A OBJETOS,0,3,"0,00",G,PROGRAMACIÓN ORIENTADA A OBJETOS,2025,0S,"7,63"
CCPT3003,OPERACIÓN DE COMPUTADORES,0,20,"0,00",G,OPERACIÓN DE COMPUTADORES,2023,0S,"9,21"
CCPT3004,FUNDAMENTOS DE COMPUTACIÓN,0,16,"0,00",G,FUNDAMENTOS DE COMPUTACIÓN,2023,0S,"8,22"
CIVG1034,ANÁLISIS ESTRUCTURAL,71,705,"10,07",G,ANÁLISIS ESTRUCTURAL,2020,0S,"7,36"
CIVG1035,DIBUJO TÉCNICO Y PLANOS,57,503,"11,33",G,DIBUJO TÉCNICO Y PLANOS,2020,0S,"7,78"
CIVG1036,DISEÑO DE PAVIMENTOS,5,515,"0,97",G,DISEÑO DE PAVIMENTOS,2020,0S,"8,04"
CIVG1037,DISEÑO DE PUENTES,9,636,"1,42",G,DISEÑO DE PUENTES,2020,0S,"7,96"
CIVG1038,DISEÑO DE VÍAS,20,521,"3,84",G,DISEÑO DE VÍAS,2020,0S,"7,53"
CIVG1039,DISEÑO ESTRUCTURAL,24,644,"3,73",G,DISEÑO ESTRUCTURAL,2020,0S,"7,84"
CIVG1040,ESTRUCTURAS METÁLICAS,31,573,"5,41",G,ESTRUCTURAS METÁLICAS,2020,0S,"7,23"
CIVG1041,GESTIÓN DE OBRAS CIVILES,7,545,"1,28",G,GESTIÓN DE OBRAS CIVILES,2020,0S,"8,88"
CIVG1043,HIDROLOGÍA,31,576,"5,38",G,HIDROLOGÍA,2020,0S,"7,67"
CIVG1044,HIDRÁULICA,69,664,"10,39",G,HIDRÁULICA,2020,0S,"6,94"
CIVG1045,HORMIGÓN ARMADO,64,741,"8,64",G,HORMIGÓN ARMADO,2020,0S,"7,49"
CIVG1046,HORMIGÓN PREFORZADO,19,623,"3,05",G,HORMIGÓN PREFORZADO,2020,0S,"8,06"
CIVG1047,HORMIGÓN Y MATERIALES DE CONSTRUCCIÓN,43,746,"5,76",G,HORMIGÓN Y MATERIALES DE CONSTRUCCIÓN,2020,0S,"8,02"
CIVG1049,INGENIERÍA DE CIMENTACIÓN,8,633,"1,26",G,INGENIERÍA DE CIMENTACIÓN,2020,0S,"7,89"
CIVG1050,INGENIERÍA DE LA CONSTRUCCIÓN,1,575,"0,17",G,INGENIERÍA DE LA CONSTRUCCIÓN,2020,0S,"8,71"
CIVG1053,INSTALACIONES,2,461,"0,43",G,INSTALACIONES,2020,0S,"8,73"
CIVG1054,MATERIA INTEGRADORA DE INGENIERÍA CIVIL,39,630,"6,19",T,MATERIA INTEGRADORA DE INGENIERÍA CIVIL,2020,0S,"8,76"
CIVG1055,POTABILIZACIÓN Y TRATAMIENTO DEL AGUA,10,559,"1,79",G,POTABILIZACIÓN Y TRATAMIENTO DEL AGUA,2020,0S,"7,93"
CIVG1056,RESISTENCIA DE MATERIALES,68,694,"9,80",G,RESISTENCIA DE MATERIALES,2020,0S,"7,26"
CIVG1058,SISTEMAS DE RECOLECCIÓN Y DISTRIBUCIÓN DE AGUA,54,555,"9,73",G,SISTEMAS DE RECOLECCIÓN Y DISTRIBUCIÓN DE AGUA,2020,0S,"7,17"
CIVG1059,TOPOGRAFÍA,4,422,"0,95",G,TOPOGRAFÍA,2020,0S,"8,55"
CIVG1060,MECÁNICA DE SUELOS Y ROCAS,49,593,"8,26",G,MECÁNICA DE SUELOS Y ROCAS,2020,0S,"7,22"
COMG2002,TEORÍA DE LA COMUNICACIÓN,45,878,"5,13",G,TEORÍA DE LA COMUNICACIÓN,2020,0S,"7,56"
DIGG2023,DIRECCIÓN DE ARTE,5,369,"1,36",G,DIRECCIÓN DE ARTE,2020,0S,"7,63"
DIGG2025,DISEÑO DE INFORMACIÓN,9,315,"2,86",G,DISEÑO DE INFORMACIÓN,2020,0S,"7,62"
DIGG2026,DISEÑO DE MARCA,11,332,"3,31",G,DISEÑO DE MARCA,2020,0S,"8,33"
DIGG2027,DISEÑO EDITORIAL,15,318,"4,72",G,DISEÑO EDITORIAL,2020,0S,"7,91"
DIGG2028,DISEÑO ESTRATÉGICO,1,334,"0,30",G,DISEÑO ESTRATÉGICO,2020,0S,"8,26"
DIGG2029,DISEÑO GRÁFICO I,29,460,"6,30",G,DISEÑO GRÁFICO I,2020,0S,"7,47"
DIGG2030,DISEÑO GRÁFICO II,21,380,"5,53",G,DISEÑO GRÁFICO II,2020,0S,"7,91"
DIGG2031,DISEÑO GRÁFICO III,2,348,"0,57",G,DISEÑO GRÁFICO III,2020,0S,"8,26"
DIGG2032,DISEÑO GRÁFICO IV,11,294,"3,74",G,DISEÑO GRÁFICO IV,2020,0S,"8,11"
DIGG2033,HISTORIA DEL DISEÑO,78,562,"13,88",G,HISTORIA DEL DISEÑO,2020,0S,"6,59"
DIGG2034,MATERIA INTEGRADORA DE DISEÑO GRÁFICO,34,325,"10,46",T,MATERIA INTEGRADORA DE DISEÑO GRÁFICO,2020,0S,"8,06"
DIGG2035,PROYECTO DE DISEÑO,0,284,"0,00",G,PROYECTO DE DISEÑO,2020,0S,"8,62"
DIGG2036,TIPOGRAFÍA,19,433,"4,39",G,TIPOGRAFÍA,2020,0S,"7,52"
DIGG2037,TÉCNICAS DE IMPRESIÓN,0,302,"0,00",G,TÉCNICAS DE IMPRESIÓN,2020,0S,"8,68"
DIGG2039,REDACCIÓN CREATIVA,76,774,"9,82",G,REDACCIÓN CREATIVA,2020,0S,"7,52"
DIGG2040,ANTROPOLOGÍA DEL DISEÑO,37,456,"8,11",G,ANTROPOLOGÍA DEL DISEÑO,2020,0S,"6,56"
DIGG2041,INVESTIGACIÓN APLICADA AL DISEÑO,14,438,"3,20",G,INVESTIGACIÓN APLICADA AL DISEÑO,2020,0S,"7,63"
DING2023,DISEÑO DE PRODUCTOS I,13,224,"5,80",G,DISEÑO DE PRODUCTOS I,2020,0S,"7,36"
DING2024,DISEÑO DE PRODUCTOS II,17,160,"10,63",G,DISEÑO DE PRODUCTOS II,2020,0S,"7,27"
DING2025,DISEÑO DE PRODUCTOS III,4,87,"4,60",G,DISEÑO DE PRODUCTOS III,2021,0S,"7,48"
DING2026,DISEÑO DE PRODUCTOS IV,0,67,"0,00",G,DISEÑO DE PRODUCTOS IV,2022,0S,"7,87"
DING2027,DISEÑO DIGITAL,10,170,"5,88",G,DISEÑO DIGITAL,2020,0S,"7,54"
DING2028,ERGONOMÍA,0,114,"0,00",G,ERGONOMÍA,2021,0S,"8,17"
DING2029,ESTRUCTURAS Y MECANISMOS I,57,222,"25,68",G,ESTRUCTURAS Y MECANISMOS I,2020,0S,"6,62"
DING2030,ESTRUCTURAS Y MECANISMOS II,22,122,"18,03",G,ESTRUCTURAS Y MECANISMOS II,2021,0S,"6,66"
DING2031,HISTORIA DEL DISEÑO INDUSTRIAL,25,291,"8,59",G,HISTORIA DEL DISEÑO INDUSTRIAL,2020,0S,"7,42"
DING2032,MATERIA INTEGRADORA DE DISEÑO DE PRODUCTOS,3,59,"5,08",T,MATERIA INTEGRADORA DE DISEÑO DE PRODUCTOS,2022,0S,"8,29"
DING2033,MATERIALES Y MANUFACTURA I,37,221,"16,74",G,MATERIALES Y MANUFACTURA I,2020,0S,"6,85"
DING2034,MATERIALES Y MANUFACTURA II,6,154,"3,90",G,MATERIALES Y MANUFACTURA II,2020,0S,"7,59"
DING2035,MATERIALES Y MANUFACTURA III,0,90,"0,00",G,MATERIALES Y MANUFACTURA III,2021,0S,"8,62"
DING2036,MODELADO TRIDIMENSIONAL,9,118,"7,63",G,MODELADO TRIDIMENSIONAL,2020,0S,"7,44"
MCTG1018,INTRODUCCIÓN A LA MECATRÓNICA,17,585,"2,91",G,INTRODUCCIÓN A LA MECATRÓNICA,2020,0S,"8,16"
DING2038,PROTOTIPADO AVANZADO,2,70,"2,86",G,PROTOTIPADO AVANZADO,2022,0S,"7,99"
DING2039,TALLER DE DISEÑO I,11,227,"4,85",G,TALLER DE DISEÑO I,2020,0S,"8,06"
DING2040,TALLER DE DISEÑO II,4,145,"2,76",G,TALLER DE DISEÑO II,2020,0S,"7,92"
DING2041,TALLER DE DISEÑO III,0,112,"0,00",G,TALLER DE DISEÑO III,2021,0S,"8,36"
DING2042,TALLER DE DISEÑO IV,6,84,"7,14",G,TALLER DE DISEÑO IV,2021,0S,"8,11"
DING2043,TEORÍA DEL DISEÑO,13,269,"4,83",G,TEORÍA DEL DISEÑO,2020,0S,"7,92"
ECOG1008,PROYECTOS AGRÍCOLAS,0,42,"0,00",G,PROYECTOS AGRÍCOLAS,2020,0S,"8,57"
ECOG1009,EVALUACIÓN DE PROYECTOS HIDROCARBURÍFEROS,3,88,"3,41",G,EVALUACIÓN DE PROYECTOS HIDROCARBURÍFEROS,2020,0S,"8,11"
ECOG2041,GESTIÓN DEL DISEÑO,0,342,"0,00",G,GESTIÓN DEL DISEÑO,2020,0S,"8,50"
ECOG2042,ANÁLISIS FINANCIERO,362,1969,"18,38",G,ANÁLISIS FINANCIERO,2020,0S,"7,44"
ECOG2043,CRECIMIENTO Y DESARROLLO ECONÓMICO,1,406,"0,25",G,CRECIMIENTO Y DESARROLLO ECONÓMICO,2020,0S,"8,45"
ECOG2044,ECONOMETRÍA I,13,470,"2,77",G,ECONOMETRÍA I,2020,0S,"7,95"
ECOG2045,ECONOMETRÍA II,85,539,"15,77",G,ECONOMETRÍA II,2020,0S,"6,89"
ECOG2046,ECONOMETRÍA III,45,498,"9,04",G,ECONOMETRÍA III,2020,0S,"7,11"
ECOG2047,ECONOMÍA GERENCIAL,43,639,"6,73",G,ECONOMÍA GERENCIAL,2020,0S,"7,74"
ECOG2049,ECONOMÍA MATEMÁTICA,42,528,"7,95",G,ECONOMÍA MATEMÁTICA,2020,0S,"7,68"
ECOG2051,FINANZAS INTERNACIONALES,4,422,"0,95",G,FINANZAS INTERNACIONALES,2020,0S,"8,39"
ECOG2053,MATERIA INTEGRADORA DE ECONOMÍA,26,484,"5,37",T,MATERIA INTEGRADORA DE ECONOMÍA,2020,0S,"8,50"
ECOG2054,PRESUPUESTO,7,434,"1,61",G,PRESUPUESTO,2020,0S,"7,83"
ECOG2055,FUNDAMENTOS DE INVERSIONES,37,911,"4,06",G,FUNDAMENTOS DE INVERSIONES,2020,0S,"8,46"
ECOG2057,FORMULACION Y EVALUACIÓN SOCIAL DE PROYECTOS,23,488,"4,71",G,FORMULACION Y EVALUACIÓN SOCIAL DE PROYECTOS,2020,0S,"7,42"
ECOG2058,FORMULACIÓN Y EVALUACIÓN DE PROYECTOS,22,514,"4,28",G,FORMULACIÓN Y EVALUACIÓN DE PROYECTOS,2020,0S,"7,99"
ECOG2059,MACROECONOMÍA III,4,480,"0,83",G,MACROECONOMÍA III,2020,0S,"8,34"
ECOG2060,MICROECONOMÍA III,125,547,"22,85",G,MICROECONOMÍA III,2020,0S,"6,97"
ECOG2061,MACROECONOMÍA II,4,468,"0,85",G,MACROECONOMÍA II,2020,0S,"8,35"
ECOG2062,MICROECONOMÍA II,101,552,"18,30",G,MICROECONOMÍA II,2020,0S,"6,93"
ECOG2063,MACROECONOMÍA I,41,1167,"3,51",G,MACROECONOMÍA I,2020,0S,"8,53"
ECOG2064,MICROECONOMÍA I,97,650,"14,92",G,MICROECONOMÍA I,2020,0S,"7,17"
ECOG2065,GESTIÓN TRIBUTARIA,26,428,"6,07",G,GESTIÓN TRIBUTARIA,2020,0S,"7,51"
ECOG2066,PLANIFICACIÓN Y CONTROL FINANCIERO,15,395,"3,80",G,PLANIFICACIÓN Y CONTROL FINANCIERO,2020,0S,"7,58"
ECOG2067,INTRODUCCIÓN A LA ECONOMÍA,230,2567,"8,96",G,INTRODUCCIÓN A LA ECONOMÍA,2020,0S,"7,51"
ECOG2068,ORGANIZACIÓN INDUSTRIAL,30,430,"6,98",G,ORGANIZACIÓN INDUSTRIAL,2020,0S,"7,25"
ECOG2069,HISTORIA Y FILOSOFÍA DEL PENSAMIENTO ECONÓMICO,24,557,"4,31",G,HISTORIA Y FILOSOFÍA DEL PENSAMIENTO ECONÓMICO,2020,0S,"7,86"
EDCOM00281,GESTIÓN Y CONTROL DE PROYECTOS,0,2,"0,00",G,GESTIÓN Y CONTROL DE PROYECTOS,2014,1S,"6,41"
ELEG1028,ANÁLISIS DE REDES ELÉCTRICAS,220,690,"31,88",G,ANÁLISIS DE REDES ELÉCTRICAS,2020,0S,"6,00"
ELEG1029,CENTRALES ELÉCTRICAS,21,277,"7,58",G,CENTRALES ELÉCTRICAS,2020,0S,"7,17"
ELEG1030,CIRCUITOS ELÉCTRICOS,136,639,"21,28",G,CIRCUITOS ELÉCTRICOS,2020,0S,"6,43"
ELEG1031,CONTROLES ELÉCTRICOS INDUSTRIALES,16,263,"6,08",G,CONTROLES ELÉCTRICOS INDUSTRIALES,2020,0S,"7,21"
ELEG1032,DISTRIBUCIÓN ELÉCTRICA I,19,280,"6,79",G,DISTRIBUCIÓN ELÉCTRICA I,2020,0S,"7,52"
ELEG1033,DISTRIBUCIÓN ELÉCTRICA II,3,143,"2,10",G,DISTRIBUCIÓN ELÉCTRICA II,2021,0S,"8,41"
ELEG1034,ELECTRICIDAD BÁSICA,192,1429,"13,44",G,ELECTRICIDAD BÁSICA,2020,0S,"6,93"
ELEG1035,ENERGÍAS RENOVABLES,22,293,"7,51",G,ENERGÍAS RENOVABLES,2020,0S,"7,27"
ELEG1036,ESTABILIDAD Y CONTROL DE SISTEMAS DE POTENCIA,11,136,"8,09",G,ESTABILIDAD Y CONTROL DE SISTEMAS DE POTENCIA,2021,0S,"7,59"
ELEG1037,GESTIÓN Y MARCO REGULATORIO DEL SECTOR ELÉCTRICO,0,141,"0,00",G,GESTIÓN Y MARCO REGULATORIO DEL SECTOR ELÉCTRICO,2021,0S,"8,18"
ELEG1038,INSTALACIONES ELÉCTRICAS,27,695,"3,88",G,INSTALACIONES ELÉCTRICAS,2020,0S,"8,22"
ELEG1039,LÍNEAS DE TRANSMISIÓN Y SUBESTACIONES,1,250,"0,40",G,LÍNEAS DE TRANSMISIÓN Y SUBESTACIONES,2020,0S,"8,24"
ELEG1040,MAQUINARIA ELÉCTRICA I,31,262,"11,83",G,MAQUINARIA ELÉCTRICA I,2020,0S,"7,20"
ELEG1041,MAQUINARIA ELÉCTRICA II,10,228,"4,39",G,MAQUINARIA ELÉCTRICA II,2020,0S,"7,17"
ELEG1042,MATERIA INTEGRADORA DE ELECTRICIDAD,19,292,"6,51",T,MATERIA INTEGRADORA DE ELECTRICIDAD,2020,0S,"8,86"
ELEG1043,MÁQUINAS Y TRANSFORMADORES,71,371,"19,14",G,MÁQUINAS Y TRANSFORMADORES,2020,0S,"6,64"
ELEG1044,OPERACIÓN DE SISTEMAS DE POTENCIA,118,387,"30,49",G,OPERACIÓN DE SISTEMAS DE POTENCIA,2020,0S,"5,74"
ELEG1046,PLANIFICACIÓN DE SISTEMAS DE POTENCIA,9,293,"3,07",G,PLANIFICACIÓN DE SISTEMAS DE POTENCIA,2020,0S,"7,64"
ELEG1047,PROTECCIONES ELÉCTRICAS,46,317,"14,51",G,PROTECCIONES ELÉCTRICAS,2020,0S,"6,58"
ELEG1049,SISTEMAS DE POTENCIA I,49,304,"16,12",G,SISTEMAS DE POTENCIA I,2020,0S,"7,02"
ELEG1050,SISTEMAS DE POTENCIA II,30,278,"10,79",G,SISTEMAS DE POTENCIA II,2020,0S,"7,35"
ELEG1051,TEORÍA ELECTROMAGNÉTICA,180,632,"28,48",G,TEORÍA ELECTROMAGNÉTICA,2020,0S,"6,37"
ELET3001,INSTALACIONES ELÉCTRICAS DE BAJA TENSIÓN,0,46,"0,00",G,INSTALACIONES ELÉCTRICAS DE BAJA TENSIÓN,2023,0S,"9,01"
ELET3002,MEDICIONES ELÉCTRICAS,0,46,"0,00",G,MEDICIONES ELÉCTRICAS,2023,0S,"8,96"
ELET3003,CONTROLES ELÉCTRICOS,0,20,"0,00",G,CONTROLES ELÉCTRICOS,2023,0S,"8,34"
ELET3004,MÁQUINAS ELÉCTRICAS,0,20,"0,00",G,MÁQUINAS ELÉCTRICAS,2023,0S,"8,43"
ESTG1033,GEOESTADISTICA,5,112,"4,46",G,GEOESTADISTICA,2020,0S,"8,31"
ESTG1034,ESTADÍSTICA,1075,4445,"24,18",G,ESTADÍSTICA,2020,0S,"6,41"
ESTG1035,INTRODUCCIÓN A LA ESTADÍSTICA,22,269,"8,18",G,INTRODUCCIÓN A LA ESTADÍSTICA,2020,0S,"7,88"
ESTG1036,ESTADÍSTICA I,625,2597,"24,07",G,ESTADÍSTICA I,2020,0S,"6,52"
ESTG1037,ESTADÍSTICA II,329,2072,"15,88",G,ESTADÍSTICA II,2020,0S,"6,89"
ESTG1038,MEDIDA Y PROBABILIDAD,53,157,"33,76",G,MEDIDA Y PROBABILIDAD,2020,0S,"5,94"
ESTG1039,ESTADÍSTICA MATEMÁTICA,90,231,"38,96",G,ESTADÍSTICA MATEMÁTICA,2020,0S,"5,63"
ESTG1040,TÉCNICAS DE MUESTREO Y ANÁLISIS MULTIVARIADO,3,121,"2,48",G,TÉCNICAS DE MUESTREO Y ANÁLISIS MULTIVARIADO,2020,0S,"8,28"
ESTG1041,MUESTREO,141,598,"23,58",G,MUESTREO,2020,0S,"6,33"
ESTG1042,ESTADÍSTICA MULTIVARIANTE,3,96,"3,13",G,ESTADÍSTICA MULTIVARIANTE,2020,0S,"7,96"
ESTG1043,CONTROL ESTADÍSTICO DE PROCESOS,2,70,"2,86",G,CONTROL ESTADÍSTICO DE PROCESOS,2020,0S,"8,97"
ESTG1044,DATOS CATEGÓRICOS,0,96,"0,00",G,DATOS CATEGÓRICOS,2020,0S,"9,16"
ESTG1045,MODELOS ESTADÍSTICOS APLICADOS I,10,73,"13,70",G,MODELOS ESTADÍSTICOS APLICADOS I,2020,0S,"7,27"
ESTG1046,MODELOS ESTADÍSTICOS APLICADOS II,6,88,"6,82",G,MODELOS ESTADÍSTICOS APLICADOS II,2020,0S,"7,70"
ESTG1047,ESTADÍSTICA BAYESIANA,3,73,"4,11",G,ESTADÍSTICA BAYESIANA,2020,0S,"8,44"
ESTG1048,PROCESOS ESTOCÁSTICOS,5,71,"7,04",G,PROCESOS ESTOCÁSTICOS,2020,0S,"7,71"
ESTG1049,INGENIERÍA DE DATOS,1,58,"1,72",G,INGENIERÍA DE DATOS,2020,0S,"8,30"
ESTG1050,DISEÑO DE EXPERIMENTOS,3,68,"4,41",G,DISEÑO DE EXPERIMENTOS,2020,0S,"8,48"
ESTG1051,SERIES DE TIEMPO,7,217,"3,23",G,SERIES DE TIEMPO,2020,0S,"8,53"
ESTG1052,ESTADÍSTICA COMPUTACIONAL,3,74,"4,05",G,ESTADÍSTICA COMPUTACIONAL,2020,0S,"7,43"
ESTG1054,MÉTODOS ROBUSTOS Y NO PARAMÉTRICOS,5,75,"6,67",G,MÉTODOS ROBUSTOS Y NO PARAMÉTRICOS,2020,0S,"7,36"
ESTG1055,APRENDIZAJE ESTADÍSTICO,5,77,"6,49",G,APRENDIZAJE ESTADÍSTICO,2020,0S,"8,03"
ESTG1056,DATOS NO ESTRUCTURADOS,2,62,"3,23",G,DATOS NO ESTRUCTURADOS,2020,0S,"8,05"
ESTG1057,SIMULACIÓN MATEMÁTICA,19,140,"13,57",G,SIMULACIÓN MATEMÁTICA,2020,0S,"7,27"
ESTG1062,MATERIA INTEGRADORA DE ESTADÍSTICA,2,76,"2,63",T,MATERIA INTEGRADORA DE ESTADÍSTICA,2020,0S,"9,57"
ESTG1063,BIOESTADÍSTICA,19,536,"3,54",G,BIOESTADÍSTICA,2020,0S,"8,15"
ESTG2004,ESTADÍSTICA,314,1522,"20,63",G,ESTADÍSTICA,2020,0S,"6,61"
ESTT3002,METROLOGÍA,0,46,"0,00",G,METROLOGÍA,2023,0S,"8,85"
ESTT3003,ESTADÍSTICA,0,16,"0,00",G,ESTADÍSTICA,2024,0S,"8,63"
EYAG1027,APLICACIONES ELECTRÓNICAS,140,683,"20,50",G,APLICACIONES ELECTRÓNICAS,2020,0S,"6,39"
EYAG1028,AUTOMATIZACIÓN DE PROCESOS INDUSTRIALES,19,318,"5,97",G,AUTOMATIZACIÓN DE PROCESOS INDUSTRIALES,2020,0S,"8,43"
EYAG1029,COMUNICACIONES INDUSTRIALES Y SISTEMAS SCADA,11,319,"3,45",G,COMUNICACIONES INDUSTRIALES Y SISTEMAS SCADA,2020,0S,"8,53"
EYAG1030,CONTROL AVANZADO,49,343,"14,29",G,CONTROL AVANZADO,2020,0S,"6,91"
EYAG1034,ELECTRÓNICA,69,620,"11,13",G,ELECTRÓNICA,2020,0S,"6,87"
EYAG1035,ELECTRÓNICA DE POTENCIA I,17,541,"3,14",G,ELECTRÓNICA DE POTENCIA I,2020,0S,"7,68"
EYAG1036,ELECTRÓNICA DE POTENCIA II,7,290,"2,41",G,ELECTRÓNICA DE POTENCIA II,2020,0S,"8,23"
EYAG1037,FUNDAMENTOS DE ELECTRICIDAD Y SISTEMAS DIGITALES,50,814,"6,14",G,FUNDAMENTOS DE ELECTRICIDAD Y SISTEMAS DIGITALES,2020,0S,"7,75"
EYAG1038,INSTRUMENTACIÓN INDUSTRIAL,9,793,"1,13",G,INSTRUMENTACIÓN INDUSTRIAL,2020,0S,"8,30"
EYAG1039,MATERIA INTEGRADORA DE ELECTRÓNICA Y AUTOMATIZACIÓN,20,334,"5,99",T,MATERIA INTEGRADORA DE ELECTRÓNICA Y AUTOMATIZACIÓN,2020,0S,"9,03"
EYAG1040,PRINCIPIOS DE ELECTRÓNICA,403,1594,"25,28",G,PRINCIPIOS DE ELECTRÓNICA,2020,0S,"6,19"
EYAG1041,PROGRAMACIÓN APLICADA A LA AUTOMATIZACIÓN,37,339,"10,91",G,PROGRAMACIÓN APLICADA A LA AUTOMATIZACIÓN,2020,0S,"7,33"
EYAG1042,ROBÓTICA INDUSTRIAL,13,294,"4,42",G,ROBÓTICA INDUSTRIAL,2020,0S,"7,88"
EYAG1043,SISTEMAS DE CONTROL,196,758,"25,86",G,SISTEMAS DE CONTROL,2020,0S,"6,37"
EYAG1044,SISTEMAS DIGITALES I,217,1798,"12,07",G,SISTEMAS DIGITALES I,2020,0S,"7,17"
EYAG1045,SISTEMAS DIGITALES II,101,452,"22,35",G,SISTEMAS DIGITALES II,2020,0S,"6,37"
EYAG1046,SISTEMAS EMBEBIDOS,57,1002,"5,69",G,SISTEMAS EMBEBIDOS,2020,0S,"7,97"
EYAT3001,INSTRUMENTACIÓN,0,20,"0,00",G,INSTRUMENTACIÓN,2023,0S,"8,44"
EYAT3002,CONTROL DE POTENCIA,0,20,"0,00",G,CONTROL DE POTENCIA,2024,0S,"8,08"
EYAT3003,CONTROLES INDUSTRIALES,0,20,"0,00",G,CONTROLES INDUSTRIALES,2024,0S,"9,12"
EYAT3004,CONTROL PROGRAMABLE,0,20,"0,00",G,CONTROL PROGRAMABLE,2024,0S,"8,18"
FISG1005,FÍSICA: MECÁNICA,3057,7895,"38,72",G,FÍSICA: MECÁNICA,2020,0S,"5,87"
FISG1006,FÍSICA: ELECTRICIDAD Y MAGNETISMO,770,3177,"24,24",G,FÍSICA: ELECTRICIDAD Y MAGNETISMO,2020,0S,"6,35"
FISG1007,FÍSICA: ELECTRÓNICA Y ÓPTICA,25,443,"5,64",G,FÍSICA: ELECTRÓNICA Y ÓPTICA,2020,0S,"7,33"
FISG1008,FÍSICA: TERMODINÁMICA Y ELECTRÓNICA,86,784,"10,97",G,FÍSICA: TERMODINÁMICA Y ELECTRÓNICA,2020,0S,"6,94"
FISG1009,FÍSICA: TERMODINÁMICA Y ÓPTICA,9,57,"15,79",G,FÍSICA: TERMODINÁMICA Y ÓPTICA,2020,0S,"6,72"
FISG2002,FÍSICA GENERAL,55,650,"8,46",G,FÍSICA GENERAL,2020,0S,"7,23"
GEOG1026,DEPÓSITOS MINERALES,6,58,"10,34",G,DEPÓSITOS MINERALES,2020,0S,"7,70"
